Name,Level,Age,PA,GB/FB,LD%,HR/FB,SwStr%,BB%,K%,PlayerId
"Trey Michalczewski","AA",21,557,1.144067796,0.228658536,0.093220338,0.14433453,0.100538599,0.274685816,"sa737859"
"Brandon Bednar","AA",24,237,1.49122807,0.228260869,0.035087719,0.08819539,0.033755274,0.168776371,"sa737887"
"Stephen McGee","AA",25,141,0.729729729,0.238095238,0.054054054,0.11171171,0.106382978,0.269503546,"sa737919"
"Erich Weiss","AA",24,520,1.34375,0.159663865,0.046875,0.07530279,0.094230769,0.173076923,"sa737930"
"Chad Hinshaw","AA",25,236,1.212765957,0.212121212,0.106382978,0.12458655,0.084745762,0.292372881,"sa738144"
"Ryan Walker","AA",24,338,1.405405405,0.229437229,0.027027027,0.08008982,0.094674556,0.186390532,"sa738172"
"Kyle Petty","AA",25,144,1.194444444,0.159574468,0,0.13232514,0.083333333,0.243055555,"sa738266"
"Austin Green","AA",26,198,1.101694915,0.210191082,0.06779661,0.09411765,0.03030303,0.156565656,"sa738290"
"Zach Shank","AA",25,152,1.592592592,0.278350515,0,0.07553366,0.078947368,0.230263157,"sa738403"
"Adam Law","AA",26,282,1.359375,0.213541666,0.046875,0.07670182,0.09929078,0.152482269,"sa738573"
"Ryan Miller","AA",23,214,1.282608695,0.233576642,0.152173913,0.15443038,0.056074766,0.280373831,"sa738892"
"Jake Romanski","AA",25,357,1.797619047,0.175438596,0.047619047,0.09387755,0.042016806,0.131652661,"sa738897"
"Ronnie Mitchell","AA",25,204,1.017241379,0.1875,0.103448275,0.07435897,0.093137254,0.176470588,"sa738900"
"Danny Bethea","AA",26,108,0.90625,0.186666666,0.0625,0.10840108,0.037037037,0.222222222,"sa738923"
"Eric Aguilera","AA",25,495,1.288461538,0.276595744,0.134615384,0.14616657,0.054545454,0.262626262,"sa738943"
"Wendell Rijo","AA",20,194,1.634146341,0.149606299,0.024390243,0.08920863,0.067010309,0.237113402,"sa739597"
"Casey Gillaspie","AA",23,357,1,0.24074074,0.134146341,0.09742519,0.162464985,0.221288515,"sa827177"
"Auston Bousfield","AA",22,307,0.724137931,0.202127659,0.034482758,0.10896445,0.104234527,0.247557003,"sa827356"
"Andrew Daniel","AA",23,501,1.27027027,0.26744186,0.045045045,0.10088692,0.077844311,0.203592814,"sa827358"
"T.J. White","AA",24,221,0.983606557,0.187919463,0,0.11577608,0.07239819,0.21719457,"sa827369"
"Nicholas Torres","AA",23,397,1.263736263,0.242647058,0.065934065,0.15243004,0.040302267,0.241813602,"sa828872"
"Logan Moon","AA",24,388,1.532467532,0.213709677,0.051948051,0.12651894,0.067010309,0.265463917,"sa829029"
"Nelson Ward","AA",23,528,1.089430894,0.199376947,0.048780487,0.08689591,0.106060606,0.238636363,"sa829034"
"Nick Tanielu","AA",23,403,1.042016806,0.211038961,0.058823529,0.08444757,0.05459057,0.148883374,"sa829082"
"Chesny Young","AA",23,553,1.720338983,0.242924528,0.033898305,0.05162175,0.103074141,0.115732368,"sa829085"
"Jake Peter","AA",23,291,1.716666666,0.185,0.066666666,0.09142857,0.106529209,0.178694158,"sa829115"
"Bo Way","AA",24,471,3.112903225,0.22960725,0.032258064,0.08208541,0.065817409,0.184713375,"sa829126"
"Caleb Adams","AA",23,275,1.530612244,0.229813664,0.081632653,0.14445575,0.065454545,0.298181818,"sa829163"
"Collin Radack","AA",24,154,3.263157894,0.198019801,0,0.09136213,0.097402597,0.207792207,"sa829288"
"Corey Toups","AA",23,394,1.149425287,0.227272727,0.114942528,0.12482853,0.091370558,0.243654822,"sa829321"
"Blake Drake","AA",22,213,0.983050847,0.152173913,0.084745762,0.11737089,0.089201877,0.248826291,"sa829329"
"Cade Gotta","AA",24,319,1.5375,0.174796747,0.0625,0.09467456,0.072100313,0.144200626,"sa829411"
"J.P. Sportman","AA",24,515,1.781818181,0.221374045,0.045454545,0.09306079,0.050485436,0.1592233,"sa829450"
