Name,Team,PA,1B,2B,3B,HR,BB,SO,FB%,GB%,NameASCII,PlayerId,MLBAMID
"Dominic Smith","NYM",149,15,11,1,5,4,47,0.395833333,0.34375,"Dominic Smith",15653,642086
"Max Muncy","LAD",481,50,17,2,35,79,131,0.449056603,0.343396226,"Max Muncy",13301,571970
"Trevor Story","COL",656,89,42,6,37,47,168,0.430555555,0.342592592,"Trevor Story",12564,596115
"Mike Moustakas","- - -",635,82,33,1,28,49,103,0.463002114,0.340380549,"Mike Moustakas",4892,519058
"Kris Bryant","CHC",457,62,28,3,13,48,107,0.407017543,0.340350877,"Kris Bryant",15429,592178
"Greg Bird","NYY",311,26,16,1,11,30,78,0.49484536,0.340206185,"Greg Bird",14131,595885
"José Bautista","- - -",399,35,18,0,13,67,111,0.460465116,0.339534883,"Jose Bautista",1887,430832
"Kyle Seager","SEA",630,70,36,1,22,38,138,0.446428571,0.339285714,"Kyle Seager",9785,572122
"Mookie Betts","BOS",614,96,47,5,32,81,91,0.449308755,0.338709677,"Mookie Betts",13611,605141
"Matt Wieters","WSN",271,40,8,0,8,30,45,0.453125,0.338541666,"Matt Wieters",4298,446308
"Jorge Bonifacio","KCR",270,31,16,2,4,29,71,0.427710843,0.337349397,"Jorge Bonifacio",12174,593528
"Jason Kipnis","CLE",601,75,28,1,18,60,112,0.447115384,0.336538461,"Jason Kipnis",9776,543401
"Chris Taylor","LAD",604,76,35,8,17,55,178,0.388888888,0.336111111,"Chris Taylor",13757,621035
"Logan Morrison","MIN",359,31,13,0,15,34,80,0.474576271,0.334745762,"Logan Morrison",9205,489149
"José Ramírez","CLE",698,75,38,4,39,106,80,0.459244532,0.333996023,"Jose Ramirez",13510,608070
"Eric Thames","MIL",278,25,10,3,16,29,97,0.466666666,0.333333333,"Eric Thames",3711,519346
"Gregory Polanco","PIT",535,56,32,6,23,61,117,0.479885057,0.333333333,"Gregory Polanco",12907,570256
"Jed Lowrie","OAK",680,98,37,1,23,78,128,0.434042553,0.331914893,"Jed Lowrie",4418,476704
"Carlos Gómez","TBR",408,49,15,2,9,25,103,0.459677419,0.330645161,"Carlos Gomez",4881,460576
"Tyler Saladino","- - -",139,22,4,0,5,9,41,0.423529411,0.329411764,"Tyler Saladino",10807,573135
"Gleyber Torres","NYY",484,76,16,1,24,42,122,0.426751592,0.328025477,"Gleyber Torres",16997,650402
"Anthony Rendon","WSN",597,93,44,2,24,55,82,0.436123348,0.325991189,"Anthony Rendon",12861,543685
"Sean Rodríguez","PIT",173,14,5,1,5,22,60,0.483146067,0.325842696,"Sean Rodriguez",6589,446481
"Christian Villanueva","SDP",384,48,15,0,20,23,104,0.471774193,0.322580645,"Christian Villanueva",11738,570799
"Eduardo Escobar","- - -",631,80,48,3,23,52,126,0.430803571,0.321428571,"Eduardo Escobar",6153,500871
"Curtis Granderson","- - -",403,46,22,2,13,54,106,0.371308016,0.320675105,"Curtis Granderson",4747,434158
"Kaleb Cowart","LAA",124,6,7,1,1,10,44,0.492753623,0.318840579,"Kaleb Cowart",11494,592230
"Paul DeJong","STL",490,60,25,1,19,36,123,0.440251572,0.317610062,"Paul DeJong",18015,657557
"Jake Marisnick","HOU",235,26,8,1,10,15,84,0.452380952,0.317460317,"Jake Marisnick",11339,545350
"Yan Gomes","CLE",435,65,26,0,16,21,119,0.411149825,0.31707317,"Yan Gomes",9627,543228
"John Ryan Murphy","ARI",223,24,9,0,9,11,71,0.496350364,0.313868613,"John Ryan Murphy",10346,571974
"Mike Trout","LAA",608,80,24,4,39,122,124,0.452991452,0.313390313,"Mike Trout",10155,545361
"Adam Duvall","- - -",427,40,20,0,15,37,117,0.47761194,0.302238805,"Adam Duvall",10950,594807
"Yoenis Cespedes","NYM",157,22,6,0,9,13,50,0.52688172,0.301075268,"Yoenis Cespedes",13110,493316
"Daniel Descalso","ARI",423,44,22,4,13,64,110,0.463414634,0.300813008,"Daniel Descalso",8392,518614
"Robinson Chirinos","TEX",426,46,15,1,18,45,140,0.488687782,0.298642533,"Robinson Chirinos",3142,455139
"Joey Gallo","TEX",577,38,24,1,40,74,207,0.498281786,0.295532646,"Joey Gallo",14128,608336
"Raffy Lopez","SDP",117,13,2,0,3,13,43,0.491803278,0.295081967,"Raffy Lopez",12606,607257
"Justin Turner","LAD",426,68,31,1,14,47,54,0.444089456,0.293929712,"Justin Turner",5235,457759
"Tyler O'Neill","STL",142,19,5,0,9,7,57,0.48,0.293333333,"Tyler O'Neill",15711,641933
"Rhys Hoskins","PHI",660,65,38,0,34,87,150,0.516990291,0.291262135,"Rhys Hoskins",16472,656555
"Lucas Duda","- - -",367,50,14,1,14,28,102,0.454148471,0.288209606,"Lucas Duda",2502,446263
"Chris Young","LAA",128,10,2,1,6,11,37,0.519480519,0.285714285,"Chris Young",3882,455759
"Jay Bruce","NYM",361,43,18,1,9,41,75,0.479508196,0.282786885,"Jay Bruce",9892,457803
"Chase d'Arnaud","SFG",100,12,5,0,3,4,37,0.438596491,0.280701754,"Chase d'Arnaud",6652,488818
"Brian McCann","HOU",216,30,3,0,7,19,40,0.5,0.28,"Brian McCann",4810,435263
"Matt Carpenter","STL",677,67,42,0,36,102,158,0.46882793,0.264339152,"Matt Carpenter",8090,572761
"Brandon Belt","SFG",456,67,18,2,14,49,107,0.472222222,0.239583333,"Brandon Belt",10264,474832
